Gliese2 index,B-V color,absolute magnitude
GL424.0,1.42,9.70
GL427.0,0.31,13.90
GL429.0A,0.80,5.30
GL429.0B,1.00,6.40
GL429.3,0.41,6.00
GL429.4,1.06,6.80
GL430.0,1.10,7.30
GL432.0A,0.81,6.09
GL433.0,1.49,9.60
GL433.1,-0.06,10.80
GL433.2A,0.57,4.70
GL433.2B,0.96,6.70
GL434.0,0.74,5.55
GL435.0,1.07,7.30
GL435.1,1.24,7.90
GL436.0,1.52,10.70
GL437.0,0.54,4.40
GL439.0,1.13,7.30
GL440.0,0.19,13.01
GL441.0,1.17,7.50
GL442.0A,0.66,4.85
GL444.0A,1.12,7.40
GL446.0,0.68,5.30
GL447.0,1.76,13.50
GL448.0,0.08,1.54
GL449.0,0.55,3.60
GL451.0A,0.75,6.71
GL452.3A,0.71,5.60
GL452.3B,0.76,5.80
GL453.0,1.16,7.00
GL454.0,0.76,5.06
GL455.3,0.32,3.10
GL456.0,1.38,9.70
GL456.1A,1.13,7.30
GL457.0,1.28,8.30
GL458.0A,1.42,9.30
GL458.1,0.71,5.40
GL459.0,0.08,1.90
GL459.1,0.53,13.70
GL459.3,1.42,9.20
GL462.0,1.35,8.50
GL468.0,1.23,7.80
GL469.1,0.70,5.70
GL471.0,1.45,9.10
GL471.2,0.37,2.90
GL472.0,0.85,6.30
GL475.0,0.59,4.46
GL479.0,1.47,11.06
GL479.1,0.59,5.00
GL481.0,1.12,7.30
GL483.0,0.94,6.00
GL484.0,0.55,4.70
GL485.0,1.29,8.30
GL486.0,1.56,11.68
GL486.1,0.70,4.90
GL488.0,1.40,8.31
GL488.2,1.34,8.20
GL489.0,1.12,7.60
GL490.0A,1.42,9.40
GL490.0B,1.61,11.90
GL492.0,0.64,15.50
GL493.0,1.16,8.20
GL494.0,1.44,9.40
GL495.0,0.75,12.30
GL496.0A,0.56,4.20
GL496.1,1.36,7.50
GL498.0,1.17,7.40
GL500.0,0.73,5.90
GL501.2,0.70,4.60
GL502.0,0.58,4.66
GL503.0,0.48,3.70
GL503.2,0.60,4.70
GL503.3,1.03,3.30
GL504.0,0.58,4.65
GL506.0,0.71,5.12
GL506.1,1.02,9.20
GL506.2,0.50,4.40
GL507.0A,1.47,9.50
GL507.0B,1.59,12.10
GL508.1,0.03,1.30
GL508.2,1.36,8.80
GL511.0,0.93,6.40
GL511.1,0.74,5.00
GL512.0A,1.52,10.90
GL512.1,0.71,3.60
GL514.0,1.49,9.65
GL514.1,1.63,13.10
GL515.0,0.07,11.10
GL517.0,1.18,8.00
GL518.0,0.95,15.36
GL518.1,1.01,8.40
GL518.2A,0.64,7.70
GL519.0,1.40,9.10
GL521.1,1.39,8.80
GL521.2A,0.54,4.40
GL521.2B,1.37,8.60
GL522.0,1.30,8.70
GL523.0,1.10,7.20
GL525.0,1.42,9.76
GL525.1,0.38,2.70
GL526.0,1.43,10.02
GL527.0A,0.48,3.50
GL529.0,1.27,7.67
GL530.0,0.69,5.30
GL531.0,0.89,6.40
GL532.0,1.33,8.30
GL532.1,1.02,4.60
GL533.0,1.37,8.70
GL534.0,0.58,2.72
GL534.1,0.78,5.50
GL534.3,0.70,5.70
GL535.0,1.16,7.50
GL538.0,0.74,5.30
GL538.1,1.12,1.20
GL539.0,1.00,1.20
GL539.1,0.58,4.30
GL540.3,0.60,4.70
GL541.0,1.23,-0.24
GL541.1,0.73,5.40
GL542.0,1.02,6.74
GL542.1A,0.50,4.10
GL542.2,1.30,7.90
GL544.0A,0.84,6.20
GL546.0,1.26,8.00
GL547.0,0.63,5.20
GL548.0A,1.41,8.84
GL548.0B,1.44,9.10
GL549.0A,0.50,3.22
GL550.0,0.70,5.40
GL550.1,1.27,8.60
GL551.0,1.97,15.45
GL552.0,1.47,10.00
GL553.0,1.41,8.40
GL554.0,1.13,7.20
GL555.0,1.63,12.38
GL556.0,0.99,6.60
GL557.0,0.37,3.20
GL558.0,1.28,8.00
GL558.1,0.50,4.20
GL559.0A,0.68,4.35
GL559.0B,0.88,5.69
GL559.1,0.61,5.10
GL560.0A,0.24,2.00
GL560.0B,1.15,7.30
GL562.0,1.26,8.20
GL563.1,1.31,8.10
GL563.3,0.97,6.90
GL563.4,0.41,3.90
GL564.0,0.56,5.15
GL564.1,0.15,1.50
GL565.0,1.00,7.00
GL566.0A,0.72,5.53
GL566.0B,1.00,7.69
GL567.0,0.84,5.66
GL569.0,1.48,10.10
GL569.1,0.79,5.90
GL570.0A,1.10,7.06
GL570.0B,1.50,9.21
GL570.1,0.71,5.10
GL570.2,1.32,9.40
GL571.0,1.31,8.40
GL571.1,1.38,8.20
GL572.0,1.43,8.60
GL573.0,1.04,7.00
GL574.0,1.18,8.00
GL574.1,1.71,0.70
GL576.0,1.30,8.40
GL577.0,0.68,5.70
GL578.0,0.43,3.70
GL579.0,1.36,9.32
GL579.2A,0.79,7.30
GL579.2B,0.85,7.70
GL579.4,0.70,4.70
GL580.1,0.09,2.10
GL580.2,0.53,3.60
GL581.0,1.61,11.50
GL582.0,0.65,4.70
GL583.0,1.30,8.20
GL585.1,1.40,8.50
GL586.0A,0.81,5.80
